,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
917,"Jessie, the Stolen Child",1909,N/A,09 Feb 1909,N/A,"Short, Drama",Van Dyke Brooke,N/A,Mary Fuller,"A gypsy caravan passes slowly along the country road. Hugo, on the front seat, drives lazily: Bill, his companion, sits on the back of the wagon smoking, while Liza, another member of the ...",None,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000918,movie,N/A,N/A,N/A,N/A,True,
918,The Jilt,1909,N/A,17 May 1909,11 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Arthur V. Johnson, Owen Moore, Florence Lawrence, Marion Leonard",John is seduced and abandoned by a cruel flirt. Later he learns that his friend Frank is engaged to the same woman. He relates his story to Frank and convinces him to jilt her at the altar.,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000919,movie,N/A,N/A,N/A,N/A,True,
919,Jones and His New Neighbors,1909,N/A,29 Mar 1909,5 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"John R. Cumpson, Florence Lawrence, Anita Hendrie",Jones' new house looks like all the others on the street. One night Jones enters the wrong house and finds himself in a precarious situation.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BM2UxZjBiMTUtMDI3YS00NzNkLWE1MzMtNmQxNmNjNzU5ZWZiXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,23,tt0000920,movie,N/A,N/A,N/A,N/A,True,
920,Jones and the Lady Book Agent,1909,N/A,10 May 1909,6 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"John R. Cumpson, Florence Lawrence, Mack Sennett, Flora Finch","After overhearing Jones mocking her, the lady book agent slips a suggestive note into Jones's pocket. A jealous Mrs. Jones finds the note, and a huge quarrel erupts.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,5,tt0000921,movie,N/A,N/A,N/A,N/A,True,
921,The Joneses Have Amateur Theatricals,1909,N/A,18 Feb 1909,4 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"John R. Cumpson, Florence Lawrence, Linda Arvidson","Well, here we pay another visit to the Jones' domicile, with the same amusing results, for Jones cannot help being funny, and we feel sure that his obituary, not that we are in a hurry to write it, will read like ""Pickings from Puck.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTkwMmM0ZDMtMGU1OC00ODJjLTgyMjAtM2I2NWQzMzIyN2U0XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,102,tt0000922,movie,N/A,N/A,N/A,N/A,True,
922,El joyero,1909,N/A,N/A,N/A,N/A,"Ricardo de Baños, Alberto Marro",N/A,N/A,N/A,N/A,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,8,tt0000923,movie,N/A,N/A,N/A,N/A,True,
923,Les joyeux microbes,1909,N/A,10 Jul 1909,5 min,"Animation, Short",Émile Cohl,N/A,N/A,This subject will give rise to unrestrained laughter and will infect your entire audience with the jovial microbe. A learned man is seen in his laboratory studying microbes. His friend enters and after exchanging salutations the visi,"None, French",France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,160,tt0000924,movie,N/A,N/A,N/A,N/A,True,
924,Judgment,1909,N/A,27 Nov 1909,N/A,"Short, Western",Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,"Gilbert M. 'Broncho Billy' Anderson, Pete Morrison","The scene takes place on a Western ranch in Wyoming. Jim Flanders, a wealthy ranchman, has a beautiful daughter, Alice, who is loved by Tom Ripley, the foreman of the ranch. The match is ...",None,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000925,movie,N/A,N/A,N/A,N/A,True,
925,The Justice of Philip II,1909,N/A,N/A,N/A,"Short, Drama, History","Ricardo de Baños, Alberto Marro",N/A,N/A,N/A,N/A,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,5,tt0000926,movie,N/A,N/A,N/A,N/A,True,
926,Kinemacolor Puzzle,1909,N/A,01 Sep 1909,N/A,Short,George Albert Smith,N/A,N/A,Two coloured discs revolve in kaleidoscopic fashion.,N/A,UK,N/A,N/A,[],N/A,N/A,N/A,tt0000927,movie,N/A,N/A,N/A,N/A,True,
927,King Lear,1909,N/A,27 Mar 1909,16 min,"Drama, Short","J. Stuart Blackton, William V. Ranous","Eugene Mullin, William Shakespeare","William V. Ranous, Julia Arthur, Florence Auer","An aging King invites disaster when he abdicates to his corrupt, toadying daughters and rejects his one loving, but honest one.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BODYzMmNiMTEtMzZkYS00NjEzLTg0MTYtMmQ0NWZhYzZmOWI0XkEyXkFqcGdeQXVyMjYzNTk1NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,88,tt0000928,movie,N/A,N/A,N/A,N/A,True,
928,Klebolin klebt alles,1909,N/A,N/A,N/A,"Short, Comedy",Heinrich Bolten-Baeckers,N/A,"Ernst Behmer, Victor Colani, Curt Bois",N/A,"None, German",Germany,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,38,tt0000929,movie,N/A,N/A,N/A,N/A,True,
929,Der kleine Detektiv,1909,N/A,08 Nov 1909,N/A,Short,Heinrich Bolten-Baeckers,N/A,Curt Bois,N/A,German,Germany,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,9,tt0000930,movie,N/A,N/A,N/A,N/A,True,
930,Dødsspringet,1910,N/A,N/A,N/A,Short,Viggo Larsen,N/A,"Edith Buemann, Gudrun Kjerulf, Viggo Larsen, Franz Skondrup",N/A,N/A,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,7,tt0000931,movie,N/A,N/A,N/A,N/A,True,
931,A Woman of the People,1909,N/A,23 Jun 1909,N/A,"Short, Drama",Viggo Larsen,A.C. Meyer,"August Blom, Gudrun Kjerulf, Viggo Larsen, Aage Lorentzen","Eve S. takes lunch to her father, who is working at Mr. Young's factory. By chance the young and handsome manufacturer sees her; he falls in love with her, and after a short talk tries to ...",None,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BYTU3ZDMxYjUtMGE2MC00YjhjLWFlYzItMjg5ZDZlNGY5ZjA1XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,7,tt0000932,movie,N/A,N/A,N/A,N/A,True,
932,Lady Helen's Escapade,1909,N/A,19 Apr 1909,8 min,"Short, Comedy, Drama",D.W. Griffith,Stanner E.V. Taylor,"Florence Lawrence, Dorothy Bernard, John R. Cumpson","Prizes gained without effort are never valuable, and, though we don't appreciate it, the longing for something makes existence sweet; hence if one has everything there is nothing to long for. Such was the condition of Lady Helen, who","None, English",United States,1 win,https://m.media-amazon.com/images/M/MV5BY2E5MmJlYTItZGFiMi00ZWFmLWI4NjctMmY2M2FiNzdmYmFmXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,21,tt0000933,movie,N/A,N/A,N/A,N/A,True,
933,Leather Stocking,1909,N/A,27 Sep 1909,11 min,"Short, Adventure",D.W. Griffith,"James Fenimore Cooper, Stanner E.V. Taylor","George Nichols, Marion Leonard, Linda Arvidson","A short version of James Fenimore Cooper's famous tale about Natty Bumppo, or ""Hawkeye,"" and his exploits during the French and Indian war.","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,8,tt0000934,movie,N/A,N/A,N/A,N/A,True,
934,The Light That Came,1909,N/A,08 Nov 1909,11 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Marion Leonard, Mary Pickford, Ruth Hart",A disfigured young woman with two beautiful sisters is courted by a blind man. Will he still love her when his sight is restored?,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYTZiNjA5NzEtZDk5My00OWRhLTljODAtNGU1Y2QyZDQyOThhXkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,88,tt0000935,movie,N/A,N/A,N/A,N/A,True,
935,Lines of White on a Sullen Sea,1909,N/A,28 Oct 1909,11 min,"Short, Drama",D.W. Griffith,"D.W. Griffith, Stanner E.V. Taylor","Linda Arvidson, George Nichols, James Kirkwood","Soon after their engagement, Bill goes to sea, and Emily vows to stay true until his return. Unknown to her, Bill marries another woman from a different port. Emily waits faithfully for six years, finally becoming dangerously ill. Wh","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYzYyYjRlM2EtMWMzMi00NTkxLTljZTktMmUxYzcwYjgzYjk2XkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,64,tt0000936,movie,N/A,N/A,N/A,N/A,True,
936,#DUPE#,1909,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0000936,movie,N/A,N/A,N/A,N/A,True,
937,The Little Darling,1909,N/A,02 Sep 1909,2 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Mary Pickford, Charles Avery, Verner Clarges","Lillie runs a boarding house full of young bachelors. A friend writes to say she's sending her little darling daughter for a visit. The bachelors all buy toys for a little girl, but an attractive young woman gets off the train instea","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjQ2MzlkYWEtYjgzMS00MzQ3LTgwYjAtZWNmY2Y4NWRiNDIwXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,162,tt0000938,movie,N/A,N/A,N/A,N/A,True,
938,The Little Teacher,1909,N/A,11 Oct 1909,11 min,"Short, Drama",D.W. Griffith,Mary Pickford,"Mary Pickford, Arthur V. Johnson, Edward Dillon","A young female teacher is assigned to an unruly class. After a student revolt, a passing surveyor helps her restore order, and the teacher becomes interested in him. Soon she learns that he has a wife. Dave, an older pupil, offers th","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,9,tt0000939,movie,N/A,N/A,N/A,N/A,True,
939,Lochinvar,1909,N/A,06 Aug 1909,N/A,"Short, Drama",J. Searle Dawley,"J. Searle Dawley, Walter Scott","Marc McDermott, Mary Fuller, Harold M. Shaw","Sir Walter Raleigh's romantic story of the love that laughed at more than locksmiths, and to which even castle walls and haughty fathers were no bar, is told by the Edison Company with a wealth of scenic vesture and old Scottish atmo","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0000940,movie,N/A,N/A,N/A,N/A,True,
940,Locura de amor,1909,N/A,N/A,N/A,Drama,"Ricardo de Baños, Alberto Marro","Ricardo de Baños, Alberto Marro, Manuel Tamayo y Baus","José Argelagués, Joaquín Carrasco, José Durany",N/A,None,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMTg2NjEwMjUyOF5BMl5BanBnXkFtZTgwNDM5MzcwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]",N/A,3.4,23,tt0000941,movie,N/A,N/A,N/A,N/A,True,
941,The Lonely Villa,1909,N/A,10 Jun 1909,8 min,"Short, Crime, Drama",D.W. Griffith,"Charles Foley (novel), André de Lorde (play), Mack Sennett","David Miles, Marion Leonard, Mary Pickford, Gladys Egan","A gang of thieves lure a man out of his home so that they can rob it and threaten his wife and children. The family barricade themselves in an interior room, but the criminals are ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYmIyOTJkMDItZjk1MS00NmZlLWI5ZDktNTJkOWE1Y2JjNjI0XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,832,tt0000942,movie,N/A,N/A,N/A,N/A,True,
942,Love Finds a Way,1909,N/A,11 Jan 1909,5 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Anita Hendrie, Arthur V. Johnson, Marion Leonard","A comedy drama of mediaeval days, when Cupid was obliged to work overtime, and be an inventive genius of subtle powers, resorting to artifice and cunning to work his felicitous plans. In this Biograph story the Duke's daughter is lov","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0000943,movie,N/A,N/A,N/A,N/A,True,
943,The Luck of the Cards,1909,N/A,18 Sep 1909,N/A,"Short, Drama",Theo Frenkel,N/A,N/A,A busker becomes a prima donna and the crowd saves her from a jealous gambler's knife.,None,United Kingdom,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",N/A,3.8,11,tt0000944,movie,N/A,N/A,N/A,N/A,True,
944,Lucky Jim,1909,N/A,26 Apr 1909,5 min,"Short, Drama",D.W. Griffith,Stanner E.V. Taylor,"Marion Leonard, Mack Sennett, Barry O'Moore, Anita Hendrie","Gertrude chooses Jim over Jack, which makes Jack very jealous. Later Jim dies, and Jack marries Gertrude. He finds himself once again very jealous of the late Lucky Jim.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZTQ4OGMyNGMtNzRlMC00YjYyLWEwNGMtNzJiNzNmMjBlYWFiXkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,52,tt0000945,movie,N/A,N/A,N/A,N/A,True,
945,The Lure of the Gown,1909,N/A,15 Mar 1909,6 min,Short,D.W. Griffith,D.W. Griffith,"Marion Leonard, Harry Solter, Florence Lawrence","""Fine feathers make fine birds.'' and handsome gowns make handsome women, and a handsome woman is the most fascinating thing extant. Hence it is when Isabelle appears on the scene clad in a gown that is a masterpiece of the dressmake","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYjcwNjdkYTEtMGJlOC00ZjJiLTlkNDQtMmVjNjA4MjZhMTNjXkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,63,tt0000946,movie,N/A,N/A,N/A,N/A,True,
946,Lægens offer,1909,N/A,N/A,N/A,N/A,N/A,N/A,"Viggo Larsen, Petrine Sonne",N/A,N/A,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt0000947,movie,N/A,N/A,N/A,N/A,True,
947,La légende de l'arc-en-ciel,1909,N/A,N/A,N/A,Short,N/A,Abel Gance,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000948,movie,N/A,N/A,N/A,N/A,True,
948,Det løbske gasrør,1909,N/A,N/A,N/A,Short,N/A,N/A,N/A,N/A,None,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,6,tt0000949,movie,N/A,N/A,N/A,N/A,True,
949,Macbeth,1909,N/A,11 Dec 1909,N/A,"Short, Drama",Mario Caserini,William Shakespeare (play),"Dante Cappelli, Maria Caserini, Amleto Palormi, Ettore Pesci","The play opens with the scene on the wild heath where the three witches appear to Macbeth and Banquo, as they are returning from their victorious battle with the rebels. They predict the ...","None, Italian",Italy,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,9,tt0000950,movie,N/A,N/A,N/A,N/A,True,
950,Madame Sans-Gêne,1909,N/A,02 Apr 1910,N/A,"Short, Drama",Viggo Larsen,"Émile Moreau, Victorien Sardou","August Blom, Gudrun Kjerulf, Viggo Larsen","Opening in the lodgings of the Lieut. Buonaparte, then an impecunious young officer, the subject soon introduces us to Madame Sans Gene, Who brings Napoleon his washing and submits to a kiss. Later, in the laundry itself, her rescue ",None,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BZTczZjExMDYtNDBmYi00ODEwLWI4NTAtYzMyYTlkZDkwMjFhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0000951,movie,N/A,N/A,N/A,N/A,True,
951,Madame de Langeais,1910,N/A,N/A,7 min,"Short, Drama",André Calmettes,N/A,"André Calmettes, Germaine Dermoz","General de Montriveau is in love with the Duchess Antoinette de Langeais who refuses to accept him. Helped by the powerful group of Thirteen, he chases her to the monastery where she has taken refuge under the name of Sister Thérèse.",None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000952,movie,N/A,N/A,N/A,N/A,True,
952,A Maid of the Mountains,1909,N/A,11 Aug 1909,N/A,"Short, Drama",Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,Gilbert M. 'Broncho Billy' Anderson,A drama of the mountains of Switzerland.,None,United States,N/A,N/A,[],N/A,N/A,N/A,tt0000953,movie,N/A,N/A,N/A,N/A,True,
953,Mamma,1909,N/A,N/A,N/A,Short,D.W. Griffith,N/A,N/A,N/A,N/A,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,6,tt0000954,movie,N/A,N/A,N/A,N/A,True,
954,A Man with Three Wives,1909,N/A,12 Nov 1909,N/A,"Short, Comedy",N/A,N/A,Blanche Sweet,"The location of this picture is not in Utah as might be inferred from the title, but right here in New York; and the situation is not so serious as it sounds. Jack Howard who, with his chum...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000955,movie,N/A,N/A,N/A,N/A,True,
955,The Maniac Cook,1909,N/A,04 Jan 1909,9 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Anita Hendrie, Marion Leonard, Harry Solter, Clara T. Bracy",N/A,"None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,6,tt0000956,movie,N/A,N/A,N/A,N/A,True,
956,Mariage forcé,1914,N/A,01 Aug 1914,20 min,"Short, Comedy",Max Linder,Molière,"Max Linder, Charles de Rochefort, Jacques Vandenne",Again Max is forced into marriage. If he doesn't marry soon he won't get any more money from his uncle. As all three candidates refuse his proposal he talks his servant into playing the bride. He manages to fool his uncle and both ge,"None, French",France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,44,tt0000957,movie,N/A,N/A,N/A,N/A,True,
957,The Medicine Bottle,1909,N/A,29 Mar 1909,5 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Florence Lawrence, Adele DeGarde, Marion Leonard, Linda Arvidson","While she attends a party, Mrs. Ross leaves her young daughter to care for her bed-ridden mother. At the party, Mrs. Ross realizes she left the wrong medicine, and desperately tries to contact her daughter before it's too late.","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,6,tt0000958,movie,N/A,N/A,N/A,N/A,True,
958,Melilla y el Gurugu,1909,N/A,N/A,N/A,N/A,Ignacio Coyne,N/A,N/A,Short documentary about the Spanish war in Africa.,None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,7,tt0000959,movie,N/A,N/A,N/A,N/A,True,
959,The Mended Lute,1909,N/A,05 Aug 1909,11 min,"Western, Short",D.W. Griffith,Stanner E.V. Taylor,"Florence Lawrence, Frank Powell, Owen Moore","Rising Moon loves Little Bear, but her father prefers Standing Rock, a richer suitor. Standing Rock takes her to his teepee under guard, but she escapes and joins Little Bear as they attempt to escape.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjdlMjhkN2MtOGRkMy00N2M3LWE4MWMtYzFjMmViMDgyNzU5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,263,tt0000960,movie,N/A,N/A,N/A,N/A,True,
960,The Message,1909,N/A,05 Jul 1909,10 min,"Short, Drama",D.W. Griffith,Frank E. Woods,"Frank Powell, James Kirkwood, Robert Harron, Gladys Egan","Effie marries an honest farmer, rejecting a suitor from the city. Years later he returns and tries to persuade her to run away with him.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,12,tt0000961,movie,N/A,N/A,N/A,N/A,True,
961,The Mexican Sweethearts,1909,N/A,24 Jun 1909,3 min,Short,D.W. Griffith,D.W. Griffith,"Mary Pickford, Billy Quirk, James Kirkwood","A Mexican spitfire romances an American soldier to make her Mexican lover jealous. When the lover is about to kill his rival, she convinces him it was all a joke and the two reconcile.","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,6,tt0000962,movie,N/A,N/A,N/A,N/A,True,
962,A Mexican's Gratitude,1909,N/A,05 May 1909,N/A,"Short, Western",Gilbert M. 'Broncho Billy' Anderson,N/A,"Gilbert M. 'Broncho Billy' Anderson, Ben Turpin","A sheriff saves a Mexican from being hanged for horse theft. In a gesture of thanks, the Mexican writes the word ""gratitude"" upon a card. After rending the card in two, he gives one half to the sheriff. Many years later the sheriff, ",None,United States,N/A,N/A,[],N/A,N/A,N/A,tt0000963,movie,N/A,N/A,N/A,N/A,True,
